inputDataLabel,outputDataLabel,inputVersion,outputVersion,varId,used,name,nameWithinFile,datasetGroupPath,bitPosition,bitCount,type,divisor,unit,min,max,nodata_value,nodata_value2,resamplingFactor,comment,Comment_2
Data label of the file used as an input,Data label of the file generated as an output,version of the input,Version of the output,Unique id of the output variable,"1: included in the generation, 0: excluded",,Field name in the file,For .h5 files,,,,,,,,,,1: 2400x2400 for mod09ga. 2: 1200x1200,0,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,62,1,albedo_s,albedo_s,/Grid/MODIS_GRID_500m/,,,uint8,1,percent,0,100,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,63,1,radiative_forcing_s,radiative_forcing_s,/Grid/MODIS_GRID_500m/,,,uint16,1,W/m^2,0,500,65535,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,64,0,swe_inches,,,,,,,,0,100,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,65,0,swe_delta,,,,,,,,-4,4,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,66,0,swe_norm_pct,,,,,,,,0,200,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,67,1,gap_snow_fraction_s,gap_snow_fraction,/Grid/MODIS_GRID_500m/,,,uint8,1,percent,0,100,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,68,0,sensor_azimuth,,,,,int16,,degree,,,32767,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,69,0,range,,,,,uint16,0.04,meter,,,65535,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,70,0,gflags,,,,,uint8,,Bit field,,,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,71,0,orbit_pnt,,,,,int8,,,,,-1,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,72,0,obscov,,,,,int8,100,,,,-1,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,73,0,iobs_res,,,,,uint8,,,,,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,74,0,q_scan,,,,,uint8,,,,,255,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,75,0,days_since_last_observation,,,,,uint16,1,day,0,366,65535,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,76,0,viewable_snow_fraction_status_s,,,,,uint8,1,unitless,0,255,0,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,77,0,days_without_observation_s,,,,,uint16,1,day,0,366,65535,,1,,
modisspiressmoothbycell,VariablesMatlab,v2024.0d,v2024.0d,78,0,days_since_last_observation_s,,,,,uint16,1,day,0,366,65535,,1,,
